state,county,total_population,percent_homeowners,percent_below_poverty,percent_fair_or_poor_health,percent_frequent_physical_distress,percent_adults_with_obesity,percent_frequent_mental_distress,percent_minorities,percent_insufficient_sleep,per_capita_income,percent_no_highschool_diploma,percent_unemployed_CDC,percent_excessive_drinking_cat,population_density_per_sqmi_cat
Maryland,Washington,149571,65.42675068,12.9,15.82722887,10.51865111,36.3,12.20123116,19.0,31.43569948,27586.0,13.1,7.5,high,extremely_populated
Maryland,Charles,154357,76.49678908,7.7,14.05230046,9.721737457,36.2,11.23947582,55.7,40.91082713,37680.0,7.2,5.0,high,extremely_populated
Maryland,Baltimore,825666,65.71826674,9.3,13.81320222,9.776187562,30.9,11.6921232,40.4,34.08227245,35777.0,9.0,6.0,high,extremely_populated
Maryland,Prince George's,897693,62.02448446,9.7,14.7562749,9.908545903,37.3,10.94372897,86.4,41.79546818,33220.0,14.2,8.0,low,extremely_populated
Maryland,Montgomery,1000000,65.43634041,6.9,10.90777054,7.702180728,21.2,9.527428703,54.1,31.92853321,49906.0,8.8,5.8,low,extremely_populated
Massachusetts,Nantucket,10694,69.2101021,10.3,12.57402351,9.900014395,24.9,11.40017754,25.1,32.26941784,46009.0,5.3,3.4,high,extremely_populated
Massachusetts,Dukes,17137,77.43050102,9.1,11.05661153,9.314132494,26.8,11.1001364,13.1,29.03329074,40051.0,7.2,4.3,high,extremely_populated
Massachusetts,Franklin,70916,69.33526774,11.3,12.49670071,10.5543999,28.8,11.90385703,8.6,32.78830368,31689.0,7.2,6.1,high,over_populated
Massachusetts,Barnstable,214703,79.53060705,8.2,10.04082735,9.311371947,21.4,11.36887008,9.4,29.65199945,39104.0,4.6,6.3,high,extremely_populated
Massachusetts,Hampden,468072,60.84460158,17.6,18.34808066,12.6563744,31.2,13.87791923,35.2,34.24974095,27057.0,14.6,8.8,high,extremely_populated
Massachusetts,Plymouth,506657,75.94065677,8.0,12.6049519,9.696744203,28.2,10.97577676,17.3,36.88012484,37188.0,7.5,6.9,high,extremely_populated
Massachusetts,Bristol,554868,62.49572981,12.5,14.34273831,10.93386591,29.1,12.40026455,16.3,35.98989361,30525.0,16.3,8.1,high,extremely_populated
Massachusetts,Norfolk,691218,69.17560548,6.7,11.76485133,8.931628729,23.2,10.60538694,22.5,30.84232346,47306.0,6.1,6.3,high,extremely_populated
Massachusetts,Essex,769362,64.08448057,11.3,13.39528422,10.14081042,24.8,11.03110694,27.1,34.22701307,37210.0,10.7,7.0,high,extremely_populated
Massachusetts,Worcester,813589,64.98044218,11.4,13.8356128,10.94773102,27.0,12.3306091,21.5,34.47867287,33272.0,10.0,6.7,high,extremely_populated
Massachusetts,Middlesex,1000000,62.39883873,8.2,10.84416686,8.890065582,22.1,10.07568594,25.9,30.86640618,45579.0,7.4,5.4,high,extremely_populated
Michigan,Keweenaw,2195,88.43663275,17.0,14.66594135,12.13192038,28.5,13.67801287,2.3,33.00835911,26328.0,5.6,6.6,low,under_populated
Michigan,Ontonagon,6165,88.14325452,15.2,16.11003752,12.59940421,30.3,14.00400321,4.5,34.66265311,22428.0,8.3,12.0,low,under_populated
Michigan,Luce,6451,81.14155251,21.0,17.86690368,13.15771979,30.7,13.80279773,21.5,36.42188302,18444.0,11.2,13.4,high,under_populated
Michigan,Delta,36570,79.47206721,16.6,15.79692618,12.24227509,35.8,13.8277258,6.5,37.42479355,24182.0,7.4,7.5,high,under_populated
Michigan,Chippewa,38330,69.20831554,17.7,18.50366608,13.62202641,40.5,14.33949186,29.6,37.24898289,20839.0,10.5,10.1,high,under_populated
Michigan,Gratiot,41676,72.75482638,19.0,16.52499642,13.213834,37.8,13.92884845,13.2,38.37604147,20358.0,10.4,8.0,high,under_populated
Michigan,Sanilac,41761,79.79509867,15.7,14.3470916,12.05017022,32.6,13.30763598,5.8,35.02783485,22510.0,12.1,9.2,high,under_populated
Michigan,Mecosta,43259,73.29423635,22.6,16.30559346,13.17354704,34.0,14.36660703,8.4,36.69697459,20690.0,10.7,10.7,high,under_populated
Michigan,Macomb,859703,72.98103565,12.0,16.1560361,12.13362418,32.1,13.12003271,19.1,36.5082,28588.0,10.8,7.5,high,extremely_populated
Michigan,Oakland,1000000,70.79060767,9.6,12.03386529,9.264514242,24.7,10.97420548,26.8,32.30429587,38992.0,6.5,6.3,high,extremely_populated
Michigan,Wayne,1000000,62.01227632,24.5,19.13628497,13.78723352,34.7,14.62905095,50.3,41.50718314,23666.0,14.9,13.0,high,extremely_populated
Minnesota,Traverse,3397,79.7979798,9.2,12.33094466,9.360663431,32.6,10.22235739,9.0,27.60860983,30992.0,9.3,4.4,high,under_populated
Minnesota,Lake of the Woods,3901,81.32492114,8.1,12.34221792,9.150477048,29.2,10.22581498,6.0,29.61514336,23234.0,10.3,3.9,high,under_populated
Minnesota,Red Lake,4042,83.85570668,10.4,11.45289773,8.702392121,36.7,9.768411893,7.1,28.18883368,25732.0,7.9,4.0,high,under_populated
Minnesota,Wabasha,21327,80.94107002,6.6,10.61507873,8.28228782,36.5,9.470642936,5.1,27.59306848,31464.0,6.8,3.4,high,under_populated
Minnesota,Nobles,21729,71.280233,14.1,16.16257027,9.984969681,33.4,10.26797771,38.8,31.10660961,24188.0,22.7,7.0,high,under_populated
Minnesota,Meeker,23094,79.15351975,9.4,11.20997732,8.823620086,32.9,9.673945747,5.3,26.06282498,27974.0,8.0,3.9,high,under_populated
Minnesota,Todd,24335,81.88192257,13.5,12.93458312,9.972713751,37.1,10.52696388,8.1,30.50349868,24410.0,12.2,4.3,high,under_populated
Minnesota,Brown,25327,77.72807753,8.0,11.33078596,8.396445106,32.7,9.385704987,5.7,28.34987794,28444.0,8.9,2.7,high,under_populated
Minnesota,Dakota,411402,74.32748027,7.2,9.988492413,8.404103455,28.5,8.931345344,19.7,29.58343293,37266.0,5.3,4.4,high,extremely_populated
Minnesota,Ramsey,531528,59.29525659,15.9,12.77793896,9.323281812,26.2,10.65517495,36.0,28.11367009,31256.0,9.7,6.5,high,extremely_populated
Minnesota,Hennepin,1000000,62.41389858,11.9,10.45592984,7.817165365,22.6,9.049514849,29.9,27.95828194,39939.0,7.2,5.1,high,extremely_populated
Mississippi,Issaquena,1352,45.8677686,40.4,35.33285206,19.51957127,27.1,17.84287071,60.8,40.19539798,17282.0,33.5,10.7,low,under_populated
Mississippi,Sharkey,4662,66.32478633,31.4,33.15246063,18.09972026,49.8,17.08430241,74.5,39.70505187,15430.0,25.3,23.2,very low,under_populated
Mississippi,Jefferson,7528,66.75889328,39.7,37.47036909,20.58502203,53.7,18.79008205,86.8,42.48164558,13703.0,21.5,11.9,very low,under_populated
Mississippi,Tippah,22061,72.94250282,23.5,23.15908902,14.53822212,40.0,14.60790461,22.5,32.0458113,19453.0,22.8,10.6,low,under_populated
Mississippi,Leake,23011,72.30656219,27.1,26.45276238,15.32640741,40.4,15.14046658,52.3,35.37528256,18178.0,23.3,9.9,low,under_populated
Mississippi,George,23313,83.52349905,17.9,18.89322794,12.11149138,38.8,12.78113425,12.1,30.99671838,20640.0,19.7,8.8,high,under_populated
Mississippi,Itawamba,23511,77.80840799,20.2,21.00735087,13.47401976,33.7,13.97049242,9.1,31.47329069,19707.0,24.2,7.2,low,under_populated
Mississippi,Coahoma,24804,51.96706313,35.2,34.90213956,18.6086037,42.4,17.56367806,78.0,40.83315798,16066.0,22.5,21.1,low,under_populated
